Operazione,Descrizione,Tipo,Frequenza,Motivazione
Registrazione al servizio,I,50.000/day,Operazione iniziale della piattaforma che permette ad una persona di utilizzare il servizio
Prenotazione di un alloggio,I,25.000/day,Operazione principale che permette di effettuare un soggiorno
Conferma di una prenotazione,I,24.500/day,{Operazione che permette di finalizzare la richiesta di una prenotazione, effettuando il pagamanto}
Declino di una prenotazione,I,500/day,Operazione che permette di rifutare una prenotazione richiesta
Scrittura di una recensione,I,8000/day,{Operazione che permette di lasciare un feedback testuale da parte di un host e/o di un utente, e una valutazione da parte di un utente}
Scrittura di un commento,I,13000/day,{Operazione che permette ad un host e/o un utente di lasciare ulteriori feedback testuali ad una recensione}
Creazione di una lista di alloggi preferiti,I,7000/day,Operazione che permette di creare dei raggruppamenti di alloggi preferiti
Registrazione di un nuovo alloggio,I,300/day,Operazione che permette di inserire un nuovo alloggio nella piattaforma
Aggiornamento del tasso di cancellazione di ciascun host,B,1/week,Operazione che una volta a settimana aggiorna il numero di prenotazioni cancellate da parte dell'host
Calcolo del numero di soggiorni e tempo di soggiorno complessivo per ciascun host,B,1/day,{Operazione che permette di aggiornare il tempo e il numero di soggiorni complessivi per ogni host, in modo da poterne calcolare lo status di superhost}
Calcolo della valutazione complessiva di ogni host per i soggiorni totali ai propri alloggi,B,1/day,{Operazione che permette di aggiornare la media delle valutazioni ricevute per ogni host, in modo da poterne calcolare lo status di superhost}
Aggiornamento dello status di ciascun host,B,1/day,Operazione che tenendo conto di altri calcoli effettua un aggiornamento per definire quali host sono considerati superhost
Aggiornamento della classifica degli alloggi più graditi,B,1/month,Operazione che permette di ottenere gli alloggi con una valutazione media più alta
Aggiornamento della visibilità delle recensioni,B,1/day, Operazione che permette di aggiornare lo status di visibilità delle recensioni
